id,mas_ifsc_number,mas_ifsc_bank_id,mas_ifsc_branch_id,mas_ifsc_code_micr,mas_ifsc_status_id,created_at,updated_at,error_reason
9156,UTIB0SGCB33,11,9156,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9157,UTIB0SGCB34,11,9157,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9158,UTIB0SGCB35,11,9158,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9159,UTIB0SGCB36,11,9159,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9160,UTIB0SGCB37,11,9160,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9161,UTIB0SGCB38,11,9161,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9169,UTIB0SGUB03,11,9169,520801103,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9170,UTIB0SGUB04,11,9170,520801104,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9171,UTIB0SGUB05,11,9171,522801602,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9172,UTIB0SGUB06,11,9172,520801105,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9173,UTIB0SGUB07,11,9173,520801106,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9174,UTIB0SGUB08,11,9174,522801402,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9175,UTIB0SGUB09,11,9175,522801502,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9183,UTIB0SIPSB2,11,9183,110255003,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9184,UTIB0SIPSB3,11,9184,110255004,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9185,UTIB0SIPSB4,11,9185,110255005,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9186,UTIB0SIPSB5,11,9186,110255006,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9204,UTIB0SJSD01,11,9204,491840002,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9205,UTIB0SJSJ01,11,9205,494522002,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9213,UTIB0SKNS02,11,9213,442808104,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9214,UTIB0SKNS03,11,9214,442808103,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9254,UTIB0SSCB02,11,9254,560446003,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9255,UTIB0SSCB03,11,9255,560446004,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9256,UTIB0SSCB04,11,9256,560446006,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9260,UTIB0SSNS02,11,9260,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9261,UTIB0SSNS03,11,9261,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9264,UTIB0SSSB02,11,9264,400082342,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9265,UTIB0SSSB03,11,9265,400082344,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9266,UTIB0SSSB04,11,9266,400082345,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9267,UTIB0SSSB05,11,9267,400082429,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9283,UTIB0SVNS02,11,9283,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9284,UTIB0SVNS03,11,9284,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9285,UTIB0SVNS04,11,9285,431852102,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9286,UTIB0SVNS05,11,9286,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9287,UTIB0SVNS06,11,9287,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9604,BARB0AZAHAL,16,9604,WAITING,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9774,BARB0BARDHA,16,9774,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
10085,BARB0BLYALI,16,10085,202012004,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
10328,BARB0CHHJHA,16,10328,WAITING,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
10400,BARB0COLLEG,16,10400,387012006,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
10468,BARB0DANDIX,16,10468,396012503,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
10932,BARB0GHAZIA,16,10932,110012078,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
10935,BARB0GHNMBS,16,10935,110012086,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
11009,BARB0GOSSUL,16,11009,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
11189,BARB0HOWECX,16,11189,700012059,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
11540,BARB0KALKAN,16,11540,208012077,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
12320,BARB0MARPAT,16,12320,384012082,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
12324,BARB0MARVIS,16,12324,384012122,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
12460,BARB0MODPAN,16,12460,132012004,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
12581,BARB0NADASH,16,12581,387012003,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
12730,BARB0NEHRUP,16,12730,110012025,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
12964,BARB0PATELN,16,12964,WAITING,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
13048,BARB0PILIBH,16,13048,262012002,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
13110,BARB0PRABAR,16,13110,390012010,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
